# Mod List: 189
Audio, cf=extrasounds-forge | Extrasounds
Audio, cf=auditory | Auditory
Compat, cf=polymorph | Polymorph
Compat, cf=every-compat | Every Compat (Wood Good)
Compat, cf=compat-o-plenty | Compat O'Plenty
Compat, cf=almost-unified | Almost Unified
Configuration, cf=kubejs | KubeJS
Configuration, cf=kubejs-botany-pots | KubeJS Botany Pots
Configuration, cf=carbon-config | Carbon Config
Cosmetic, cf=sooty-chimneys | Sooty Chimneys
Cosmetic, cf=reddens-stone-lanterns | Redden's Stone Lanterns
Cosmetic, cf=project-red-illumination | Project Red - Illumination
Cosmetic, cf=plushie-mod | Plushie Mod
Cosmetic, cf=nekos-enchanted-books | Neko's Enchanted Books
Cosmetic, cf=macaws-bridges | Macaw's Bridges
Cosmetic, cf=macaws-bridges-biome-o-plenty | Macaw's Bridges - Biomes O'Plenty
Cosmetic, mr=handcrafted | Handcrafted
Cosmetic, mr=fish-tanks | Fish Tanks
Cosmetic, cf=dramatic-doors | Dramatic Doors
Cosmetic, cf=diagonal-fences | Diagonal Fences
Cosmetic, cf=chimes | Chimes
Cosmetic, cf=beautify-decorate | Beautify!
Cosmetic, cf=additional-lanterns | Additional Lanterns
Debug, cf=spark | Spark
Debug, cf=fps-monitor | FPS Monitor
Debug, cf=cyanide | Cyanide
Debug, cf=crash-assistant | Crash Assistant
Debug, cf=betterf3 | BetterF3
DevTool, cf=wits | WITS (What Is This Structure)
Dimension, cf=the-undergarden | The Undergarden
Dimension, cf=aether | The Aether
Dimension, cf=aether-redux | The Aether Redux
Dimension, cf=deeperdarker | Deeper and Darker
Dimension, cf=deep-aether | Deep Aether
Dimension, mr=aether-protect-your-moa | Aether Addon - Protect Your Moa
Dimension, mr=aether-enhanced-extinguishing | Aether Addon - Enhanced Extinguishing
Enchant, cf=vein-mining | Vein Mining
Enchant, cf=allurement | Allurement
Fix, cf=yeetusexperimentus | yeetus experimentus
Fix, cf=simple-snowy-fix-forge-fabric | Simple Snowy Fix
Fix, cf=netherportalfix | NetherPortalFix
Fix, mr=modelfix | Model Gap Fix
Fix, cf=max-health-fix | Max Health Fix
Fix, cf=lmft | Load My Fing Tags
Fix, cf=attributefix | AttributeFix
Fix-server, cf=neruina | Neruina - Ticking Entity Fixer
Fix-server, cf=connectivity | Connectivity
Food/Farming, cf=undergarden-delight | Undergarden Delight
Food/Farming, cf=undergarden-botany-pots-compats | Undergarden Botany Pots Compats
Food/Farming, cf=strawgolem-reborn | Straw Golem
Food/Farming, cf=spice-of-life-carrot-edition | Spice of Life Carrot Edition
Food/Farming, cf=oceans-delight | Ocean's Delight
Food/Farming, cf=nethers-delight | Nether's Delight
Food/Farming, cf=incubation | Incubation
Food/Farming, cf=farmers-delight | Farmer's Delight
Food/Farming, cf=farmers-respite | Farmer's Respite
Food/Farming, cf=delightful | Delightful
